OBJECTID,ALLEY_TRDA,ALLEY_TR_1,XCNTS_VALU,YDNTS_VALU
354,001669,호암로26길,194298,440989
355,001670,홍릉로12길,203898,454008
356,001672,홍릉로1가길,203731,453514
357,001587,필운대로5가길,197133,453410
358,001589,필운대로7길,197120,453537
359,001591,학동로20길,202443,445686
360,000376,독산로107길,191388,442034
361,000380,독산로21길,191587,439369
362,000388,독산로38길,191626,440159
363,000399,독산로85길,191339,441458
364,000255,답십리로72길,206435,452188
365,001655,한천로90길,205159,457342
366,001656,해등로16길,203822,461736
367,001474,창신3길,200973,452636
368,001207,월드컵로29길,191516,451039
369,001208,월드컵로31길,191318,451288
370,001209,월드컵로32길,191710,451518
371,001592,한가람로16길,210229,448641
372,001596,한강대로21길,196797,447449
373,001597,한강대로23길,196873,447551
374,001600,한강대로43길,197277,448015
375,001708,황물로15길,205237,451831
376,000263,당산로28길,190993,447246
377,000269,당산로45길,191216,448194
378,001271,이문로28길,205350,455069
379,001305,인촌로24길,202630,453857
380,001349,장터길,201718,449877
381,001475,창신5가길,200967,452750
382,001482,천장산로9길,204820,455542
383,001416,주흥13길,201613,445414
384,001310,인헌3길,197212,441627
385,001311,인헌4길,197011,441689
386,001216,월드컵북로4길,193150,451070
387,001108,영신로20길,191947,446176
388,001110,영신로54길,191538,447468
389,001111,영신로57길,191202,447602
390,001711,회기로23길,204856,454715
391,001712,회기로26길,204768,454543
392,001716,회나무로13나길,199303,449149
393,001722,효령로68길,202020,442915
394,001453,증산서길,191687,453711
395,001577,퇴계로90길,201923,451542
396,001608,한글비석로1길,206209,460057
397,001315,자동차시장1길,205598,451218
398,001320,자하문로24길,197528,453676
399,001322,자하문로36길,197132,454509
400,001323,자하문로41길,196585,455295
401,001113,영중로29길,191492,447307
402,001114,영중로42길,191711,447686
403,001118,오금로32길,210518,444922
404,001122,오금로64길,213025,443651
405,001725,효창원로62길,196721,448925
406,001727,효창원로70길,196771,449125
407,001732,후암로13길,198019,449781
408,001733,후암로23길,197946,449982
409,001601,한강대로52길,197556,448051
410,001604,한강대로62다길,197742,448194
411,000914,시흥대로160길,191300,442389
412,000915,시흥대로175길,191562,443176
413,000924,시흥대로71길,191112,439552
414,000927,시흥대로88가길,191256,440319
415,000885,송파대로38길,209980,444673
416,000886,수락산로4길,206632,462856
417,000889,수색로2길,192709,452488
418,000890,수색로4길,192441,452340
419,001124,오리로22길,185143,444394
420,001127,오패산로19길,203029,456687
421,001136,오현로32길,203530,458707
422,000046,강서로8길,187122,447889
423,000049,개운사2길,202489,454384
424,000059,경인로112길,192402,446489
425,000077,고산자로31길,203325,453030
426,001413,종암로28길,203002,455742
427,001414,종암로40길,202825,456510
428,001366,전농로5길,205001,452364
429,001367,전원말2길,199037,440640
430,001373,정릉로31길,201417,456017
431,001377,정릉로38라길,201737,455756
432,001070,연서로19길,192515,457179
433,000964,신림로38길,194539,441856
434,001190,원효로39길,196243,448360
435,001196,월계로21길,203381,457254
436,001294,인수봉로67길,200944,460051
437,001295,인수봉로68길,201249,460176
438,001297,인수봉로72가길,201146,460427
439,001387,제기로37길,204433,454132
440,001673,홍릉로29길,203671,454568
441,001677,홍은중앙로9길,195266,455577
442,001684,화계사길,200938,459376
443,001687,화곡로25길,185714,449154
444,001380,정릉로6길,199131,456724
445,001383,정릉로9라길,200050,456842
446,001418,중계로12가길,207301,460871
447,001419,중계로18길,206872,461318
448,001328,잠원로14길,201275,446354
449,001329,잠원로8길,200981,446150
450,001151,왕산로22길,202886,453002
451,001155,왕산로36길,203919,453226
452,001156,왕산로3길,202330,453084
453,001007,아차산로70길,209022,449082
454,001009,아차산로7가길,204853,449654
455,001390,조원로12길,191831,442504
456,001392,조원로14길,192042,442580
457,001397,조원로6길,191612,442528
458,001399,종로24길,199431,452217
459,001406,종로58가길,201489,452522
460,000405,돈화문로4길,199431,452217
461,000410,돌곶이로25길,204811,456773
462,000091,곰달래로31가길,187104,448104
463,001333,장문로49길,200384,447802
464,001335,장월로12길,204424,457024
465,001339,장월로2길,204306,456516
466,001343,장위로40길,204610,456945
467,001011,안암로5길,202068,453480
468,001015,압구정로29길,202374,447988
469,001017,약령서1길,203229,453449
470,001023,양산로23길,190947,447192
471,001026,양재대로128길,212765,449472
472,001241,은천로9길,194774,443040
473,001244,은평로12길,193385,455609
474,001246,은평로20길,193982,455547
475,000103,공릉로65길,206200,459577
476,001739,휘경로11가길,205670,455126
477,000007,가마산로61길,191570,445241
478,000015,가재울로6길,193221,452938
479,001450,증산로23길,192421,455341
480,001452,증산로9길,191881,453964
481,001459,지봉로7길,201351,452853
482,001029,양재천로19길,203348,441916
483,001031,양천로16길,183290,452607
484,001034,양천로57길,186922,451594
485,001038,양평로19길,190617,448488
486,001042,양화로19길,193313,451038
487,001043,양화로23길,193406,451119
488,001252,을지로22길,199666,451808
489,001255,을지로5길,198657,451965
490,001264,응암로2길,192301,453398
491,001265,응암로34길,193136,455335
492,001268,이문로1길,204676,454407
493,000031,강남대로83길,201848,445122
494,000033,강남대로8길,203876,441058
495,000279,대사관로30가길,200327,448039
496,001461,지양로3길,185525,446599
497,001462,진흥로12길,193529,456465
498,001466,창경궁로13길,199676,452237
499,001470,창경궁로43길,200315,454440
500,001046,언남11길,203832,441713
501,001049,언주로30길,204711,443267
502,001051,여의대방로13길,192590,444245
503,001052,여의대방로23길,192827,444307
504,001056,여의대방로43가길,193142,445286
505,001269,이문로24길,205297,455082
506,001274,이문로43나길,205406,455815
507,001275,이촌로14길,195991,447478
508,001277,이촌로75길,197741,446724
509,001279,이태원로17길,199209,448386
510,001284,이태원로36길,199947,448256
511,000280,대사관로31길,200446,448283
512,000304,덕릉로83길,206574,462283
513,000315,도림로47길,191131,444155
514,000343,도봉로30길,202661,457968
515,000423,동교로46길,193465,451418
516,001346,장터2길,201603,449814
517,001352,장한로21길,206095,452289
518,001353,장한로24길,206372,452268
519,001355,장한로31길,206254,452860
520,001061,역삼로78길,205052,444699
521,000992,신촌로31길,195888,450905
522,000995,신촌로4길,193705,450855
523,000996,신촌로9길,194071,451054
524,000997,신풍로17길,192636,444683
525,001290,인수봉로28길,201261,458866
526,001407,종로5길,198152,452676
527,001221,위례성대로20길,211263,445587
528,001224,율곡로16길,200357,452831
529,001230,율곡로5길,198613,453111
530,001235,은천로24길,195447,442960
531,000438,동소문로42길,202452,456216
532,000109,공항대로7길,183477,451424
533,000110,관악로11길,195515,442085
534,000117,광나루로12길,205985,449739
535,001362,전농로27길,204620,453300
536,001534,토정로11길,193337,449576
537,001537,토정로37길,195186,449177
538,001541,통일로26길,195677,453726
539,001006,아차산로51길,207523,448971
540,000931,시흥대로98길,191047,440373
541,000935,신길로28길,192192,444807
542,000940,신길로40길,192207,445273
543,001239,은천로5길,194521,443076
544,001181,용마산로45길,207689,452819
545,001081,연세로2마길,194898,450971
546,001082,연세로4길,194739,451007
547,000142,국회대로53길,191737,447496
548,001734,후암로30길,198187,450149
549,001738,휘경로10길,205489,455006
550,001560,통일로89길,192827,458352
551,001546,통일로40길,195015,454578
552,001549,통일로66길,193949,456809
553,001434,중앙로45길,186794,446845
554,001436,중앙로6길,188094,444535
555,000826,성덕정11길,204601,448795
556,001146,올림픽로98길,211861,450229
557,001185,우이천로20길,203035,460146
558,001186,우이천로4라길,203833,459365
559,001086,연희로31길,194096,452928
560,001423,중랑역로13길,206598,455234
561,001426,중림로5길,196930,451120
562,001429,중앙2길,195962,442770
563,001431,중앙로1길,187876,444295
564,000668,봉우재로70길,208654,454834
565,000760,상계로35길,206893,463531
566,000837,성북로23길,199327,454806
567,000839,성북로8길,200478,454623
568,000807,서초대로8길,198959,442773
569,000810,서해안로24길,185777,443238
570,000811,석계로13길,205444,457897
571,000701,사당로16길,197539,442402
572,000904,시흥대로130길,191205,441258
573,000805,서초대로54길,201628,443642
574,000126,구로동로13길,189645,443079
575,000841,성수일로1길,204180,449118
576,000974,신목로4길,188969,446786
577,000982,신월로15길,186011,446681
578,000815,선릉로130길,203868,446396
579,000986,신정중앙로23길,187837,447600
580,000540,망우로16길,205444,454330
581,000905,시흥대로136길,191227,441412
582,000941,신길로41길,191852,445348
583,000131,구로동로42길,189707,444273
